week,ingredient,weather_condition,has_promotion,special_event,actual_demand,lag_1,lag_2,lag_4,rolling_4w,predicted_demand,stock_alert
2024-01-01,black tea,Sunny,True,False,649,8004.0,751.0,2948.0,2627.5,942.15173,Understock Risk
2024-01-08,black tea,Cloudy,False,False,2762,649.0,8004.0,1106.0,3041.5,2078.012,Overstock Risk
2024-01-08,black tea,Cloudy,False,True,808,2762.0,649.0,751.0,3055.75,1028.3561,Understock Risk
2024-01-08,black tea,Cloudy,True,True,1224,808.0,2762.0,8004.0,1360.75,874.2445,Overstock Risk
2024-01-08,black tea,Rainy,False,False,2074,1224.0,808.0,649.0,1717.0,2008.426,Normal
2024-01-08,black tea,Rainy,True,False,2082,2074.0,1224.0,2762.0,1547.0,1330.4756,Overstock Risk
2024-01-08,black tea,Sunny,False,False,6946,2082.0,2074.0,808.0,3081.5,7259.856,Normal
2024-01-08,black tea,Sunny,True,False,3197,6946.0,2082.0,1224.0,3574.75,3164.398,Normal
2024-01-15,black tea,Cloudy,False,False,5089,3197.0,6946.0,2074.0,4328.5,4903.3076,Normal
2024-01-15,black tea,Cloudy,False,True,633,5089.0,3197.0,2082.0,3966.25,1145.9636,Understock Risk
2024-01-15,black tea,Cloudy,True,False,3462,633.0,5089.0,6946.0,3095.25,2915.4277,Normal
2024-01-15,black tea,Cloudy,True,True,565,3462.0,633.0,3197.0,2437.25,1081.2053,Understock Risk
2024-01-15,black tea,Rainy,False,False,1657,565.0,3462.0,5089.0,1579.25,1003.5695,Overstock Risk
2024-01-15,black tea,Sunny,False,False,4474,1657.0,565.0,633.0,2539.5,5039.286,Normal
2024-01-15,black tea,Sunny,False,True,883,4474.0,1657.0,3462.0,1894.75,682.94727,Overstock Risk
2024-01-15,black tea,Sunny,True,False,2465,883.0,4474.0,565.0,2369.75,2109.581,Normal
2024-01-22,black tea,Cloudy,False,False,2682,2465.0,883.0,1657.0,2626.0,2429.6763,Normal
2024-01-22,black tea,Rainy,False,False,1315,2682.0,2465.0,4474.0,1836.25,1139.7479,Normal
2024-01-22,black tea,Rainy,True,False,496,1315.0,2682.0,883.0,1739.5,1184.2034,Understock Risk
2024-01-22,black tea,Sunny,False,False,5770,496.0,1315.0,2465.0,2565.75,6077.7197,Normal
2024-01-22,black tea,Sunny,False,True,677,5770.0,496.0,2682.0,2064.5,905.3154,Understock Risk
2024-01-29,black tea,Cloudy,False,False,3439,677.0,5770.0,1315.0,2595.5,2896.5754,Normal
2024-01-29,black tea,Cloudy,True,False,2246,3439.0,677.0,496.0,3033.0,2473.976,Normal
2024-01-29,black tea,Rainy,False,False,1297,2246.0,3439.0,5770.0,1914.75,1480.3358,Normal
2024-01-29,black tea,Sunny,False,False,7809,1297.0,2246.0,677.0,3697.75,7774.489,Normal
2024-01-29,black tea,Sunny,False,True,810,7809.0,1297.0,3439.0,3040.5,632.9067,Overstock Risk
2024-01-29,black tea,Sunny,True,False,3613,810.0,7809.0,2246.0,3382.25,3029.1567,Normal
2024-02-05,black tea,Cloudy,False,False,1754,3613.0,810.0,1297.0,3496.5,2537.0688,Understock Risk
2024-02-05,black tea,Rainy,False,False,1002,1754.0,3613.0,7809.0,1794.75,1062.7052,Normal
